read_id	exon_left	exon_left_len	exon_left_start_pos_align	exon_left_end_pos_align	exon_left_read_end_pos_align	exon_right	exon_right_len	exon_right_start_pos_align	exon_right_end_pos_align	read_count	exon_comb_short_rc	exon_right_read_start_pos_align	exon_comb_type	exon_left_miss	exon_right_miss	exon_join	exon_order	gap	exon_exon_gap_corrected
read_00149	16	101	45	101	304	17	147	1	147	1	1-3,16-18	305	1	0	0	16-17	4	0	0
read_00149	17	147	1	147	451	18	102	1	97	1	1-3,16-18	452	1	0	0	17-18	5	0	0
read_00150	1	57	2	57	56	2	168	1	168	1	1-3,16-18	57	1	0	0	1-2	1	0	0
read_00150	2	168	1	168	224	3	130	1	26	1	1-3,16-18	225	1	0	0	2-3	2	0	0
read_00150	3	130	1	26	250	16	101	45	101	1	1-3,16-18	249	0	104	44	3-16	3	-2	0
read_00150	16	101	45	101	305	17	147	1	147	1	1-3,16-18	306	1	0	0	16-17	4	0	0
read_00150	17	147	1	147	452	18	102	1	97	1	1-3,16-18	453	1	0	0	17-18	5	0	0
read_00151	1	57	1	31	31	18	102	1	102	2	1,18	42	0	26	0	1-18	1	10	10
read_00152	1	57	1	54	54	2	168	2	168	5	1-3,17-18	59	1	3	1	1-2	1	4	4
read_00152	2	168	2	168	225	3	130	1	89	5	1-3,17-18	226	1	0	0	2-3	2	0	0
read_00152	3	130	1	89	314	17	147	62	147	5	1-3,17-18	312	0	41	61	3-17	3	-3	0
read_00152	17	147	62	147	397	18	102	1	99	5	1-3,17-18	398	1	0	0	17-18	4	0	0
read_00153	1	57	1	57	57	17	147	38	147	1	1,17-18	63	0	0	37	1-17	1	5	5
read_00153	17	147	38	147	172	18	102	1	102	1	1,17-18	173	1	0	0	17-18	2	0	0
read_00154	1	57	2	57	56	2	168	2	168	7	1-3,17-18	58	1	0	1	1-2	1	1	1
read_00154	2	168	2	168	224	3	130	1	89	7	1-3,17-18	225	1	0	0	2-3	2	0	0
read_00154	3	130	1	89	313	17	147	62	147	7	1-3,17-18	311	0	41	61	3-17	3	-3	0
read_00154	17	147	62	147	396	18	102	1	102	7	1-3,17-18	397	1	0	0	17-18	4	0	0
read_00155	1	57	1	57	57	2	168	2	168	56	1-3,17-18	59	1	0	1	1-2	1	1	1
read_00155	2	168	2	168	225	3	130	1	89	56	1-3,17-18	226	1	0	0	2-3	2	0	0
read_00155	3	130	1	89	314	17	147	62	147	56	1-3,17-18	312	0	41	61	3-17	3	-3	0
read_00155	17	147	62	147	397	18	102	1	99	56	1-3,17-18	398	1	0	0	17-18	4	0	0
read_00156	1	57	3	57	55	17	147	38	147	1	1,17-18	61	0	0	37	1-17	1	5	5
read_00156	17	147	38	147	170	18	102	1	102	1	1,17-18	171	1	0	0	17-18	2	0	0
read_00157	1	57	1	57	57	2	168	1	168	2	1-3,16-18	58	1	0	0	1-2	1	0	0
read_00157	2	168	1	168	225	3	130	1	26	2	1-3,16-18	226	1	0	0	2-3	2	0	0
read_00157	3	130	1	26	251	16	101	45	101	2	1-3,16-18	250	0	104	44	3-16	3	-2	0
read_00157	16	101	45	101	306	17	147	1	147	2	1-3,16-18	307	1	0	0	16-17	4	0	0
read_00157	17	147	1	147	453	18	102	1	102	2	1-3,16-18	454	1	0	0	17-18	5	0	0
read_00158	1	57	1	57	57	2	168	1	168	1	1-3,16-18	58	1	0	0	1-2	1	0	0
read_00158	2	168	1	168	225	3	130	1	26	1	1-3,16-18	226	1	0	0	2-3	2	0	0
